pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
8070,4,Soybeans,arkansas,35,2021-12-17,-90.21308782888192,34.10476434041866,379.0,614.0,638.5,919.5,1459.0,1596.5,1652.0,1737.5,1570.5,919.5,1
8071,4,Soybeans,arkansas,35,2021-12-17,-90.76150930983688,33.814159346006,754.5,1007.0,1263.0,1553.0,1615.5,1775.5,1899.0,1895.0,2583.5,1890.5,1
8072,4,Soybeans,arkansas,35,2021-12-17,-90.02489077685888,35.54835700199874,340.0,471.5,622.0,798.0,1157.0,1307.5,1623.0,1577.0,2364.0,1547.5,1
8073,4,Soybeans,arkansas,35,2021-12-17,-90.39948825033672,33.894558563934694,358.0,701.0,630.0,1148.0,1832.0,2071.0,2260.0,2205.0,1768.0,970.0,1
8074,4,Soybeans,arkansas,35,2021-12-17,-90.4933621975272,35.643578422115404,654.0,915.0,1344.0,1539.0,1644.0,1763.0,1970.0,1971.0,2112.0,1504.0,1
8075,4,Soybeans,arkansas,35,2021-12-17,-89.80749847810196,35.924751106044816,577.5,849.0,884.5,1564.0,2593.5,2822.5,3172.0,2999.0,2718.5,1770.0,1
8076,4,Soybeans,arkansas,35,2021-12-17,-90.2121895135978,35.084826315393066,481.0,694.0,648.5,1026.0,1835.0,1902.0,2217.5,2044.0,1926.0,1316.5,1
8077,4,Soybeans,arkansas,35,2021-12-17,-91.49408542403636,34.01178870851229,542.0,658.0,846.0,974.0,978.0,1090.0,1190.0,1213.0,1280.0,925.0,1
8078,4,Soybeans,arkansas,35,2021-12-17,-90.64472832290134,35.43651674912586,784.0,920.0,1106.0,1357.0,1561.0,1706.0,1886.0,1875.0,2317.0,1558.0,1
8079,4,Soybeans,arkansas,35,2021-12-17,-90.89356165660246,35.37902457094221,960.0,1194.0,1378.0,1694.0,1929.0,2023.0,2230.0,2257.0,2582.0,1883.0,1
8080,4,Soybeans,arkansas,35,2021-12-17,-90.96946929811055,34.53775230736427,422.0,747.0,556.0,1397.0,3291.0,3596.0,3920.0,3808.0,2516.0,1451.0,1
8081,4,Soybeans,arkansas,35,2021-12-17,-90.61373644559923,35.57755224873262,831.0,955.0,1246.0,1451.0,1554.0,1677.0,1882.0,1880.0,2496.0,1861.0,1
8082,4,Soybeans,arkansas,35,2021-12-17,-90.93353668674578,34.82296741007222,577.0,976.0,786.0,1749.0,3281.0,3462.0,3728.0,3621.0,2490.0,1426.0,1
8083,4,Soybeans,arkansas,35,2021-12-17,-90.5661257355409,34.03379743297322,446.0,598.0,768.0,949.0,1126.0,1282.0,1412.0,1434.0,1793.0,1190.0,1
8084,4,Soybeans,arkansas,35,2021-12-17,-91.11948795055852,34.617702367650914,478.0,868.0,592.0,1412.0,2640.0,2846.0,2928.0,3018.0,2078.0,1202.0,1
8085,4,Soybeans,arkansas,35,2021-12-17,-90.65056737224813,35.631451165779794,838.0,1110.0,1406.0,1744.0,2212.0,2409.0,2664.0,2677.0,2963.0,2088.0,1
8086,4,Soybeans,arkansas,35,2021-12-17,-91.94503969666435,34.77760248822419,1722.0,1708.0,1692.0,1786.0,2044.0,2144.0,2314.0,2241.0,2026.0,1596.0,1
8087,4,Soybeans,arkansas,35,2021-12-17,-91.18461580865718,33.26394123448279,491.0,557.0,737.0,878.0,974.0,1031.0,1164.0,1189.0,1371.0,918.0,1
8088,4,Soybeans,arkansas,35,2021-12-17,-91.36697381133345,33.03262504882201,268.0,268.0,480.0,618.0,830.0,1067.0,1454.0,1658.0,2133.0,1190.0,1
8089,4,Soybeans,arkansas,35,2021-12-17,-90.98069823916205,33.45977396642085,808.0,1204.0,1498.0,1722.0,1899.0,2036.0,2214.0,2235.0,2808.0,2228.0,1
8090,4,Soybeans,arkansas,35,2021-12-17,-90.33975028394278,33.58733473676582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8091,4,Soybeans,arkansas,35,2021-12-17,-90.78756045307635,35.6525615749566,768.5,951.0,1211.0,1480.5,1616.0,1726.5,1864.0,1989.5,2627.0,1976.0,1
8092,4,Soybeans,arkansas,35,2021-12-17,-90.97441003217321,34.20672312516623,451.0,473.0,616.0,740.0,780.0,859.0,986.0,1010.0,948.0,550.0,1
8093,4,Soybeans,arkansas,35,2021-12-17,-91.45860197031364,34.497328119578896,408.0,766.0,503.0,1279.0,3187.0,3503.0,3820.0,3575.0,2027.0,1124.0,1
8094,4,Soybeans,arkansas,35,2021-12-17,-90.9923763378556,35.383965305004864,589.0,692.0,793.0,940.5,969.0,1023.0,1251.0,1011.5,765.5,569.5,1
8095,4,Soybeans,arkansas,35,2021-12-17,-91.4455763986939,34.308681909913794,506.5,694.0,820.0,1226.5,1514.5,1638.5,1890.0,1830.0,1559.5,856.5,1
8096,4,Soybeans,arkansas,35,2021-12-17,-90.85717988759562,34.270054352696654,625.0,858.0,1091.0,1290.5,1414.5,1521.5,1743.0,1718.5,2527.0,1983.0,1
8097,4,Soybeans,arkansas,35,2021-12-17,-89.88160948904182,35.90678480036242,535.5,642.5,894.0,1038.5,1135.0,1234.0,1417.0,1459.0,2100.5,1417.0,1
8098,4,Soybeans,arkansas,35,2021-12-17,-91.41952525545443,33.52939340094011,668.5,865.0,1022.0,1366.5,1987.5,2166.5,2427.0,2509.0,2421.5,1597.5,1
8099,4,Soybeans,arkansas,35,2021-12-17,-90.64607579582753,33.63314881625592,473.0,640.0,764.0,988.0,1159.0,1221.0,1230.0,1337.0,1477.0,957.0,1
