pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
9159,4,Almonds,california,16,2021-06-10,-122.01928793605975,39.698124456988864,428.0,807.0,674.0,1282.5,2931.5,3464.0,3642.0,3727.5,2367.0,1384.0,1
9160,4,Almonds,california,16,2021-06-10,-119.25157854568751,35.731613319959116,1165.0,1588.0,2075.0,2416.5,2762.0,3006.5,3165.0,3235.0,4312.5,3775.0,1
9161,4,Almonds,california,16,2021-06-10,-120.66867090638605,36.718861817206474,1081.0,1566.0,1953.0,2145.0,2213.5,2285.0,2283.0,2372.0,3257.5,2857.0,1
9162,4,Almonds,california,16,2021-06-10,-120.49484689890893,36.916491179712764,498.0,723.5,661.0,1111.5,2488.0,2928.0,3064.0,3158.0,2182.0,1457.0,1
9163,4,Almonds,california,16,2021-06-10,-120.08072355292983,36.717514344280296,545.0,861.0,844.5,1445.0,2886.5,3328.0,3434.0,3520.5,2386.5,1759.5,1
9164,4,Almonds,california,16,2021-06-10,-119.36835953262305,35.67457029941753,354.0,578.5,442.0,945.5,2627.0,3076.0,3338.0,3369.5,1929.5,1122.5,1
9165,4,Almonds,california,16,2021-06-10,-120.88381741693269,37.750576921017746,477.0,764.5,673.0,1318.5,2523.5,2865.5,2973.0,3025.0,2016.5,1420.0,1
9166,4,Almonds,california,16,2021-06-10,-120.87977499815415,37.46715844887803,1033.0,1376.0,1725.0,2297.5,3280.0,3584.5,3752.0,3815.5,3830.5,3431.0,1
9167,4,Almonds,california,16,2021-06-10,-121.04192090693772,37.55384587379557,471.0,722.5,622.0,1145.0,2546.5,3044.5,3332.0,3300.0,2267.5,1423.0,1
9168,4,Almonds,california,16,2021-06-10,-119.76002499649917,36.27913648562997,581.0,871.0,917.5,1411.5,2347.5,2718.0,2921.0,2974.0,2667.5,1944.5,1
