pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid,elevation,slope,aspect,clay,sand,org_carbon,ph,month,temp,precip
9640,5,Pistachios,california,13,2021-05-11,-119.39485983350458,35.732511635243235,605.5,851.0,905.0,1397.0,2586.0,3012.0,3216.0,3227.0,2149.5,1577.5,1,107.0,2.7802885,180.0,22.0,46.0,2.0,80.0,5,296.2603036408783,0.00010312952363022988
9641,5,Pistachios,california,13,2021-05-11,-119.57811615146495,35.44011001026233,953.0,1143.0,1428.0,1609.0,1659.0,1773.5,1875.0,1979.5,3540.0,3251.5,1,99.0,0.92740995,180.0,22.0,38.0,2.0,76.0,5,296.16478427763906,0.00013860918843278114
9642,5,Pistachios,california,13,2021-05-11,-119.87411103758234,35.828631370644025,277.5,485.0,331.0,797.0,2808.5,3487.0,3708.0,3740.5,1367.0,683.0,1,57.0,2.7802885,180.0,23.0,41.0,2.0,76.0,5,296.4074915609052,4.0336030359355846e-05
9643,5,Pistachios,california,13,2021-05-11,-119.48918293833712,35.820546533086954,1139.0,1412.0,1606.0,1884.5,2482.0,2754.5,2907.0,2907.5,3308.0,2965.0,1,74.0,0.92740995,180.0,33.0,37.0,1.0,77.0,5,297.7417200765302,0.00032681085431107704
9644,5,Pistachios,california,13,2021-05-11,-119.89881470789562,36.354594969496006,1246.0,1581.0,1921.0,2113.5,2216.0,2390.0,2532.0,2585.0,4365.0,4257.5,1,73.0,0.0,-0.0,18.0,47.0,2.0,77.0,5,297.2843370540168,0.00015905358159074012
9645,5,Pistachios,california,13,2021-05-11,-120.43960050893558,36.5109018289328,597.0,828.0,880.5,1366.0,3028.0,3734.0,4008.0,4117.5,2318.0,1329.5,1,85.0,3.522371,105.24711,39.0,28.0,4.0,73.0,5,295.75064302259875,0.00013974167668351356
9646,5,Pistachios,california,13,2021-05-11,-119.74250784845884,35.54296711029402,1209.0,1560.0,1816.0,1848.5,2892.0,3320.0,3278.0,3449.0,2703.0,2046.5,1,82.0,2.275643,90.0,19.0,51.0,2.0,78.0,5,297.8235413130893,0.0011637494739247
9647,5,Pistachios,california,13,2021-05-11,-119.94597626031192,36.50865604072251,1169.0,1585.0,1867.0,2290.5,3045.5,3370.0,3646.0,3574.0,3901.0,3657.5,1,75.0,2.9491513,128.93459,21.0,46.0,2.0,74.0,5,297.94375300663773,8.775152527817909e-05
9648,5,Pistachios,california,13,2021-05-11,-119.56284479163492,36.57153811061088,1000.0,1417.0,1648.0,2122.5,3251.5,3693.5,3834.0,3923.0,3491.5,3036.5,1,128.0,3.005159,337.67584,27.0,39.0,3.0,75.0,5,296.360813448506,0.00044201173150071327
9649,5,Pistachios,california,13,2021-05-11,-119.43213991779554,35.6826551369746,339.5,600.0,578.0,1006.0,2473.0,3004.0,3212.0,3314.5,2019.5,1271.0,1,116.0,2.4648197,67.910194,27.0,37.0,3.0,77.0,5,296.68265117112026,0.0003785923894596976
9650,5,Pistachios,california,13,2021-05-11,-119.95585772843722,36.27644153977761,1106.0,1501.0,1822.0,1974.0,2031.5,2121.5,2189.0,2189.0,2795.0,2537.5,1,154.0,2.279389,270.0,26.0,39.0,4.0,78.0,5,296.561977448002,0.000322608726854412
9651,5,Pistachios,california,13,2021-05-11,-119.54263269774223,35.829080528286084,1150.0,1560.0,1965.0,2417.5,2981.0,3296.0,3484.0,3617.0,3745.0,2805.5,1,192.0,2.9486475,308.9425,32.0,39.0,2.0,79.0,5,296.7976755326794,0.0005414322789860648
9652,5,Pistachios,california,13,2021-05-11,-120.21547084554776,36.53919876038257,791.5,1129.0,1276.0,1691.5,2852.0,3329.0,3466.0,3516.0,2464.0,1749.0,1,91.0,0.0,-0.0,20.0,44.0,2.0,79.0,5,297.77013226991056,0.0006330893214894218
9653,5,Pistachios,california,13,2021-05-11,-119.46807252916032,35.901844066299766,1149.0,1473.0,1730.0,1971.0,2373.0,2555.0,2808.0,2814.5,4014.0,3735.0,1,56.0,1.4745895,308.96484,36.0,31.0,2.0,75.0,5,297.70287284030707,0.0002885595735264701
9654,5,Pistachios,california,13,2021-05-11,-119.58036193967526,35.77922403001745,825.0,1025.5,1152.0,1491.0,2043.5,2271.5,2397.0,2466.5,3010.0,2647.5,1,88.0,2.1868532,32.02351,19.0,43.0,2.0,78.0,5,296.2302690936673,4.474677407273475e-05
9655,5,Pistachios,california,13,2021-05-11,-119.7106176558726,35.51332270591808,501.5,746.5,741.5,1194.0,2656.5,3149.0,3396.0,3415.0,1983.0,1182.5,1,195.0,1.148619,270.0,25.0,46.0,4.0,73.0,5,297.08418636937296,0.0006613270219517631
9656,5,Pistachios,california,13,2021-05-11,-120.36279455214336,37.00452607755648,266.0,450.0,385.0,794.0,2317.0,2864.0,3100.0,3115.0,1593.0,955.0,1,57.0,1.1538149,270.0,39.0,27.0,1.0,76.0,5,297.06204045203424,0.0003647194083882255
9657,5,Pistachios,california,13,2021-05-11,-120.31383636915884,37.32028389992449,393.5,669.0,893.5,1323.0,2445.5,2884.5,3174.0,3130.0,2326.5,1673.0,1,55.0,0.0,-0.0,22.0,43.0,2.0,78.0,5,296.6518947027063,0.00018347658478745643
9658,5,Pistachios,california,13,2021-05-11,-119.7784404598236,35.572162357027906,473.0,711.0,711.5,1183.0,2761.0,3379.5,3516.0,3660.5,1987.5,1115.5,1,59.0,1.4799702,51.20349,36.0,31.0,2.0,74.0,5,297.0038378520678,0.0004487619575215263
9659,5,Pistachios,california,13,2021-05-11,-119.60955718640916,35.99976043226879,1677.0,1991.0,2226.0,2362.5,2653.0,2949.0,2936.0,3190.5,3427.5,3076.0,1,85.0,1.4651921,50.73718,39.0,27.0,2.0,74.0,5,297.2423474916848,0.000326423424120037
9660,5,Pistachios,california,13,2021-05-11,-119.9181284865042,36.37525622103075,1303.0,1565.0,1846.0,2015.5,2141.0,2276.0,2438.0,2463.5,3815.5,3610.0,1,97.0,3.7047918,-0.0,19.0,47.0,2.0,77.0,5,297.8776801529752,0.000544740336771099
